MCS	NormalTCells	ActivatedTCells	TotalTCells
618	29	1	30
619	29	1	30
620	29	1	30
621	29	1	30
622	29	1	30
623	29	1	30
624	29	1	30
625	29	1	30
626	29	1	30
627	29	1	30
628	29	1	30
629	29	1	30
630	29	1	30
631	29	1	30
632	29	1	30
633	29	1	30
634	29	1	30
635	29	1	30
636	29	1	30
637	29	1	30
638	29	1	30
639	29	1	30
640	29	1	30
641	29	1	30
642	29	1	30
643	29	1	30
644	29	1	30
645	29	1	30
646	29	1	30
647	29	1	30
648	29	1	30
649	29	1	30
650	29	1	30
651	29	1	30
652	29	1	30
653	29	1	30
654	29	1	30
655	29	1	30
656	29	1	30
657	29	1	30
658	29	1	30
659	29	1	30
660	29	1	30
661	29	1	30
662	29	1	30
663	29	1	30
664	29	1	30
665	29	1	30
666	29	1	30
667	29	1	30
668	29	1	30
669	29	1	30
670	29	1	30
671	29	1	30
672	29	1	30
673	29	1	30
674	29	1	30
675	29	1	30
676	29	1	30
677	29	1	30
678	29	1	30
679	29	1	30
680	29	1	30
681	29	1	30
682	29	1	30
683	29	1	30
684	29	1	30
685	29	1	30
686	29	1	30
687	29	1	30
688	29	1	30
689	29	1	30
690	29	1	30
691	29	1	30
692	29	1	30
693	29	1	30
694	29	1	30
695	29	1	30
696	29	1	30
697	29	1	30
698	29	1	30
699	29	1	30
700	29	1	30
701	29	1	30
702	29	1	30
703	29	1	30
704	29	1	30
705	29	1	30
706	29	1	30
707	29	1	30
708	29	1	30
709	29	1	30
710	29	1	30
711	29	1	30
712	29	1	30
713	29	1	30
714	29	1	30
715	29	1	30
716	29	1	30
717	29	1	30
718	29	1	30
719	29	1	30
720	29	1	30
721	29	1	30
722	29	1	30
723	29	1	30
724	29	1	30
725	29	1	30
726	29	1	30
727	29	1	30
728	29	1	30
729	29	1	30
730	29	1	30
731	29	1	30
732	29	1	30
733	29	1	30
734	29	1	30
735	29	1	30
736	29	1	30
737	29	1	30
738	29	1	30
739	29	1	30
740	29	1	30
741	29	1	30
742	29	1	30
743	29	1	30
744	29	1	30
745	29	1	30
746	29	1	30
747	29	1	30
748	29	1	30
749	29	1	30
750	29	1	30
751	29	1	30
752	29	1	30
753	29	1	30
754	29	1	30
755	29	1	30
756	29	1	30
757	29	1	30
758	29	1	30
759	29	1	30
760	29	1	30
761	29	1	30
762	29	1	30
763	29	1	30
764	29	1	30
765	29	1	30
766	29	1	30
767	29	1	30
768	29	1	30
769	29	1	30
770	29	1	30
771	29	1	30
772	29	1	30
773	29	1	30
774	29	1	30
775	29	1	30
776	29	1	30
777	29	1	30
778	29	1	30
779	29	1	30
780	29	1	30
781	29	1	30
782	29	1	30
783	29	1	30
784	29	1	30
785	29	1	30
786	29	1	30
787	29	1	30
788	29	1	30
789	29	1	30
790	29	1	30
791	29	1	30
792	29	1	30
793	29	1	30
794	29	1	30
795	29	1	30
796	29	1	30
797	29	1	30
798	29	1	30
799	29	1	30
800	29	1	30
801	29	1	30
802	29	1	30
803	29	1	30
804	29	1	30
805	29	1	30
806	29	1	30
807	29	1	30
808	29	1	30
809	29	1	30
810	29	1	30
811	29	1	30
812	29	1	30
813	29	1	30
814	29	1	30
815	29	1	30
816	29	1	30
817	29	1	30
818	29	1	30
819	29	1	30
820	29	1	30
821	29	1	30
822	29	1	30
823	29	1	30
824	29	1	30
825	29	1	30
826	29	1	30
827	29	1	30
828	29	1	30
829	29	1	30
830	29	1	30
831	29	1	30
832	29	1	30
833	29	1	30
834	29	1	30
835	29	1	30
836	29	1	30
837	29	1	30
838	29	1	30
839	29	1	30
840	29	1	30
841	29	1	30
842	29	1	30
843	29	1	30
844	29	1	30
845	29	1	30
846	29	1	30
847	29	1	30
848	29	1	30
849	29	1	30
850	29	1	30
851	29	1	30
852	29	1	30
853	29	1	30
854	29	1	30
855	29	1	30
856	29	1	30
857	29	1	30
858	29	1	30
859	29	1	30
860	29	1	30
861	29	1	30
862	29	1	30
863	29	1	30
864	29	1	30
865	29	1	30
866	29	1	30
867	29	1	30
868	29	1	30
869	29	1	30
870	29	1	30
871	29	1	30
872	29	1	30
873	29	1	30
874	29	1	30
875	29	1	30
876	29	1	30
877	29	1	30
878	29	1	30
879	29	1	30
880	29	1	30
881	29	1	30
882	29	1	30
883	29	1	30
884	29	1	30
885	29	1	30
886	29	1	30
887	29	1	30
888	29	1	30
889	29	1	30
890	29	1	30
891	29	1	30
892	29	1	30
893	29	1	30
894	29	1	30
895	29	1	30
896	29	1	30
897	29	1	30
898	29	1	30
899	29	1	30
900	29	1	30
901	29	1	30
902	29	1	30
903	29	1	30
904	29	1	30
905	29	1	30
906	29	1	30
907	29	1	30
908	29	1	30
909	29	1	30
910	29	1	30
911	29	1	30
912	29	1	30
913	29	1	30
914	29	1	30
915	29	1	30
916	29	1	30
917	29	1	30
918	29	1	30
919	29	1	30
920	29	1	30
921	29	1	30
922	29	1	30
923	29	1	30
924	29	1	30
925	29	1	30
926	29	1	30
927	29	1	30
928	29	1	30
929	29	1	30
930	29	1	30
931	29	1	30
932	29	1	30
933	29	1	30
934	29	1	30
935	29	1	30
936	29	1	30
937	29	1	30
938	29	1	30
939	29	1	30
940	29	1	30
941	29	1	30
942	29	1	30
943	29	1	30
944	29	1	30
945	29	1	30
946	29	1	30
947	29	1	30
948	29	1	30
949	29	1	30
950	29	1	30
951	29	1	30
952	29	1	30
953	29	1	30
954	29	1	30
955	29	1	30
956	29	1	30
957	29	1	30
958	29	1	30
959	29	1	30
960	29	1	30
961	29	1	30
962	29	1	30
963	29	1	30
964	29	1	30
965	29	1	30
966	29	1	30
967	29	1	30
968	29	1	30
969	29	1	30
970	29	1	30
971	29	1	30
972	29	1	30
973	29	1	30
974	29	1	30
975	29	1	30
976	29	1	30
977	29	1	30
978	29	1	30
979	29	1	30
980	29	1	30
981	29	1	30
982	29	1	30
983	29	1	30
984	29	1	30
985	29	1	30
986	29	1	30
987	29	1	30
988	29	1	30
989	29	1	30
990	29	1	30
991	29	1	30
992	29	1	30
993	29	1	30
994	29	1	30
995	29	1	30
996	29	1	30
997	29	1	30
998	29	1	30
999	29	1	30
1000	29	1	30
1001	29	1	30
1002	29	1	30
1003	29	1	30
1004	29	1	30
1005	29	1	30
1006	29	1	30
1007	29	1	30
1008	29	1	30
1009	29	1	30
1010	29	1	30
1011	29	1	30
1012	29	1	30
1013	29	1	30
1014	29	1	30
1015	29	1	30
1016	29	1	30
1017	29	1	30
1018	29	1	30
1019	29	1	30
1020	29	1	30
1021	29	1	30
1022	29	1	30
1023	29	1	30
1024	29	1	30
1025	29	1	30
1026	29	1	30
1027	29	1	30
1028	29	1	30
1029	29	1	30
1030	29	1	30
1031	29	1	30
1032	29	1	30
1033	29	1	30
1034	29	1	30
1035	29	1	30
1036	29	1	30
1037	29	1	30
1038	29	1	30
1039	29	1	30
1040	29	1	30
1041	29	1	30
1042	29	1	30
1043	29	1	30
1044	29	1	30
1045	29	1	30
1046	29	1	30
1047	29	1	30
1048	29	1	30
1049	29	1	30
1050	29	1	30
1051	29	1	30
1052	29	1	30
1053	29	1	30
1054	29	1	30
1055	29	1	30
1056	29	1	30
1057	29	1	30
1058	29	1	30
1059	29	1	30
1060	29	1	30
1061	29	1	30
1062	29	1	30
1063	29	1	30
1064	29	1	30
1065	29	1	30
1066	29	1	30
1067	29	1	30
1068	29	1	30
1069	29	1	30
1070	29	1	30
1071	29	1	30
1072	29	1	30
1073	29	1	30
1074	29	1	30
1075	29	1	30
1076	29	1	30
1077	29	1	30
1078	29	1	30
1079	29	1	30
1080	29	1	30
1081	29	1	30
1082	29	1	30
1083	29	1	30
1084	29	1	30
1085	29	1	30
1086	29	1	30
1087	29	1	30
1088	29	1	30
1089	29	1	30
1090	29	1	30
1091	29	1	30
1092	29	1	30
1093	29	1	30
