MCS	AvgNutrientConcentration	AvgUptake
9900	0.0004988249969459139	2.9999999999999997e-05
10000	0.000451333580544102	2.9999999999999997e-05
10100	0.000408363643135759	2.9999999999999997e-05
10200	0.00036948474954103585	2.9999999999999997e-05
10300	0.0003343073098863242	2.9999999999999997e-05
10400	0.0003024790411562426	2.9999999999999997e-05
10500	0.0002736810352463508	2.9999999999999997e-05
10600	0.00024762468131654897	2.9999999999999997e-05
10700	0.00022404920318565565	2.9999999999999997e-05
10800	0.00020271820030594244	2.9999999999999997e-05
10900	0.00018341809607174946	2.9999999999999997e-05
11000	0.00016595548425032757	2.9999999999999997e-05
11100	0.00015015540277259424	2.9999999999999997e-05
11200	0.00013585960401344346	2.9999999999999997e-05
11300	0.00012292486069054575	2.9999999999999997e-05
11400	0.00011122161954033072	2.9999999999999997e-05
11500	0.00010063258584204596	2.9999999999999997e-05
11600	9.10516889138089e-05	2.9999999999999997e-05
11700	8.238296904365416e-05	2.9999999999999997e-05
11800	7.453954614713439e-05	2.9999999999999997e-05
11900	6.744285896921064e-05	2.9999999999999997e-05
12000	6.102186757556046e-05	2.9999999999999997e-05
12100	5.521218096735538e-05	2.9999999999999997e-05
12200	4.995561689477472e-05	2.9999999999999997e-05
12300	4.519950002733094e-05	2.9999999999999997e-05
12400	4.08962032457639e-05	2.9999999999999997e-05
12500	3.700260684706154e-05	2.9999999999999997e-05
12600	3.347970525830169e-05	2.9999999999999997e-05
12700	3.0292211732288705e-05	2.9999999999999997e-05
12800	2.740819460615603e-05	2.9999999999999997e-05
12900	2.479874132621626e-05	2.9999999999999997e-05
13000	2.2437735906190937e-05	2.9999999999999997e-05
13100	2.030150935247366e-05	2.9999999999999997e-05
13200	1.836866456770076e-05	2.9999999999999997e-05
13300	1.6619843437008967e-05	2.9999999999999997e-05
13400	1.5037522704908042e-05	2.9999999999999997e-05
13500	1.3605851334632462e-05	2.9999999999999997e-05
13600	1.2310483366502012e-05	2.9999999999999997e-05
13700	1.1138441150451399e-05	2.9999999999999997e-05
13800	1.0077988716104301e-05	2.9999999999999997e-05
13900	9.1184940008352e-06	2.9999999999999997e-05
14000	8.250350527177943e-06	2.9999999999999997e-05
14100	7.464863087503545e-06	2.9999999999999997e-05
14200	6.7541589826341805e-06	2.9999999999999997e-05
14300	6.111119021636113e-06	2.9999999999999997e-05
14400	5.529299870388058e-06	2.9999999999999997e-05
14500	5.00287339921124e-06	2.9999999999999997e-05
14600	4.526566594033284e-06	2.9999999999999997e-05
14700	4.095607932196799e-06	2.9999999999999997e-05
14800	3.7056789787611706e-06	2.9999999999999997e-05
14900	3.35287362746476e-06	2.9999999999999997e-05
15000	3.0336576105019047e-06	2.9999999999999997e-05
15100	2.744832577928719e-06	2.9999999999999997e-05
15200	2.4835063898581213e-06	2.9999999999999997e-05
15300	2.247060332192632e-06	2.9999999999999997e-05
15400	2.0331243875270956e-06	2.9999999999999997e-05
15500	1.8395574764695085e-06	2.9999999999999997e-05
15600	1.6644193710353647e-06	2.9999999999999997e-05
15700	1.5059555117786659e-06	2.9999999999999997e-05
15800	1.362578702983683e-06	2.9999999999999997e-05
15900	1.2328523709570618e-06	2.9999999999999997e-05
16000	1.1154768788424007e-06	2.9999999999999997e-05
16100	1.0092761080368292e-06	2.9999999999999997e-05
16200	9.13186310398487e-07	2.9999999999999997e-05
16300	8.262448859975393e-07	2.9999999999999997e-05
16400	7.475809511101943e-07	2.9999999999999997e-05
16500	6.764062558168007e-07	2.9999999999999997e-05
16600	6.120078915128033e-07	2.9999999999999997e-05
16700	5.537407116066788e-07	2.9999999999999997e-05
16800	5.010209825443326e-07	2.9999999999999997e-05
16900	4.5332044218662306e-07	2.9999999999999997e-05
17000	4.1016127431078076e-07	2.9999999999999997e-05
17100	3.7111109688328267e-07	2.9999999999999997e-05
17200	3.357788151275827e-07	2.9999999999999997e-05
17300	3.0381048987669603e-07	2.9999999999999997e-05
17400	2.748857420974673e-07	2.9999999999999997e-05
17500	2.487147240454988e-07	2.9999999999999997e-05
17600	2.2503537260416806e-07	2.9999999999999997e-05
17700	2.0361049092167604e-07	2.9999999999999997e-05
17800	1.842253911308376e-07	2.9999999999999997e-05
17900	1.6668586608659552e-07	2.9999999999999997e-05
18000	1.5081625810984178e-07	2.9999999999999997e-05
18100	1.364575358045954e-07	2.9999999999999997e-05
18200	1.2346585731017967e-07	2.9999999999999997e-05
18300	1.1171107613171217e-07	2.9999999999999997e-05
18400	1.0107542173889782e-07	2.9999999999999997e-05
18500	9.145239735457267e-08	2.9999999999999997e-05
