# MSD of Non-stuck Dynabeads (H)
LagTime(MCS)	MSD
9600	10191.475976833863
9700	10222.642063671945
9800	10270.486481923735
9900	10293.567104494492
10000	10316.944745532704
10100	10356.907180669747
10200	10353.613153872406
10300	10376.82759888012
10400	10404.613285491914
10500	10471.453289843923
10600	10481.533960892344
10700	10500.406187608309
10800	10536.323562256874
10900	10581.109476651625
11000	10630.3237501256
11100	10679.183097179699
11200	10719.192134756957
11300	10741.72199357243
11400	10782.162917660153
11500	10787.214487035713
11600	10844.228120947902
11700	10901.582856059767
11800	10967.783643511864
11900	10991.330745799378
12000	11036.935168646618
12100	11068.599575454014
12200	11118.124194870927
12300	11137.708686685311
12400	11187.662944983715
12500	11211.408567715262
12600	11235.066768509234
12700	11276.169522476417
12800	11338.479903730922
12900	11387.956718422618
13000	11393.961247796731
13100	11426.17820423878
13200	11484.840083369598
13300	11482.174516974745
13400	11514.40015666928
13500	11537.917365361622
13600	11570.025906085844
13700	11619.891494024518
13800	11625.202106886218
13900	11657.175593522552
14000	11688.97214110032
14100	11729.439643939246
14200	11770.543963787883
14300	11802.562442153465
14400	11825.425948974342
14500	11874.540585349809
14600	11906.435070869382
14700	11902.961710661222
14800	11952.995143076556
14900	11985.380090092933
15000	11986.995764094545
15100	11997.89192284841
15200	12004.223180678231
15300	12041.770287132234
15400	12083.518063212769
15500	12133.983310325295
15600	12175.750163102517
15700	12213.14490899323
15800	12233.822962013672
15900	12271.370380387432
16000	12318.442446711015
16100	12365.130154617895
16200	12406.964561797833
16300	12444.09678416724
16400	12512.132390869041
16500	12545.172399228895
16600	12622.324219275159
16700	12655.17919373989
16800	12710.92929184388
16900	12735.260145082875
17000	12768.480890422108
17100	12788.823283811822
17200	12827.453479351416
17300	12821.546771132178
17400	12846.823767188622
17500	12864.154034960584
17600	12899.110132682057
17700	12925.110136374866
17800	12950.667781245604
17900	12994.624830955401
18000	13003.187361612472
18100	13020.855792073076
18200	13056.587898024814
18300	13091.99260149582
18400	13127.192854389437
18500	13162.37830653761
18600	13206.886750891894
18700	13250.478768656823
18800	13276.781456050152
18900	13302.528304271584
19000	13355.301929435393
19100	13393.628324031431
19200	13441.742769057804
19300	13472.337322168567
19400	13520.653316391763
19500	13542.151275730163
19600	13582.57682555452
19700	13600.832627681315
19800	13632.82195625358
19900	13673.933233058715
