MCS	ContactEnergy	VolumeEnergy	SurfaceEnergy	TotalEnergy
89	28880.0	2979.038368315305	1720.7905675844813	33579.828935899786
90	28910.0	2787.2795656241215	1681.145083803931	33378.42464942805
91	29000.0	3436.0491191045003	1561.134194611659	33997.18331371616
92	29000.0	3266.701284432711	1524.968986736858	33791.67027116957
93	29080.0	3425.2573705076793	1459.0013562527747	33964.258726760454
94	28920.0	3113.135300303038	1706.015833509009	33739.15113381205
95	29000.0	3114.6341231962288	1586.2398736445175	33700.873996840746
96	28960.0	3585.9976975246536	1675.4062421948038	34221.40393971946
97	29160.0	3282.218126864973	1320.1429896273476	33762.36111649232
98	29030.0	3068.3651820301748	1481.3492670458072	33579.71444907598
99	29030.0	3328.5060169509234	1490.2524142748734	33848.7584312258
100	28950.0	3150.8780889026093	1635.0351108532777	33735.91319975589
101	29110.0	3369.2662642182404	1399.8141862502234	33879.080450468464
102	29070.0	3255.082209767934	1513.678347828536	33838.76055759647
103	28950.0	3358.125997267998	1644.2423011954088	33952.36829846341
104	29120.0	3453.826017221363	1434.5283714650577	34008.35438868642
105	29120.0	3156.9179874014662	1491.0808645425277	33767.998851943994
106	29120.0	3375.6589726276434	1414.2597729890986	33909.91874561674
107	29160.0	3709.7463529658125	1346.9135788895073	34216.65993185532
108	29110.0	3486.5215895976144	1385.124837759795	33981.64642735741
109	29040.0	3396.519464932717	1520.939207213596	33957.45867214631
110	29080.0	3125.7171136757097	1457.4338792117487	33663.15099288746
111	28960.0	3233.9159426869446	1709.2273198904877	33903.14326257743
112	29120.0	3494.26921887316	1463.5456500741566	34077.81486894732
113	29000.0	3400.8896817973437	1664.2500047966314	34065.139686593975
114	28920.0	3843.0523767563136	1742.203070793621	34505.255447549935
115	29095.0	3332.995451469833	1441.8072180347372	33869.80266950457
116	29015.0	3144.919786102473	1647.0039789944713	33806.923765096944
117	29175.0	3553.1523154686874	1379.9237530164828	34108.07606848517
118	29080.0	3225.302750261835	1555.8479944114515	33861.15074467329
119	29120.0	3804.3571592075023	1494.1756786202313	34418.53283782773
