MCS	ContactEnergy	VolumeEnergy	SurfaceEnergy	TotalEnergy
88	59775.0	6569.360409935907	3327.7028768969467	69672.06328683285
89	59935.0	6363.095180092932	3156.46801769617	69454.5631977891
90	59975.0	6114.335702814133	3159.2531250083994	69248.58882782253
91	59775.0	7017.4794466664025	3462.2547195821244	70254.73416624853
92	59735.0	6726.358313200035	3563.237786853424	70024.59610005346
93	59855.0	7149.4805269023345	3382.5004471919965	70386.98097409433
94	59855.0	6973.536799748399	3368.982171974494	70197.5189717229
95	59935.0	7070.384698571725	3250.890988922183	70256.27568749391
96	59895.0	6232.526550337643	3392.8463695121172	69520.37291984976
97	59990.0	6278.811575322034	3289.2962031130446	69558.10777843508
98	60415.0	6448.050503505365	2593.723237694212	69456.77374119958
99	60120.0	6602.444186328066	3073.0531580594834	69795.49734438755
100	60080.0	6732.360970958107	3137.3930990265217	69949.75406998463
101	60015.0	6331.314880222635	3374.9374173062097	69721.25229752884
102	60015.0	6720.58074780085	3333.925299836992	70069.50604763784
103	59735.0	6400.782352989627	3901.399514178629	70037.18186716826
104	60055.0	6531.896159106836	3335.5533275631024	69922.44948666994
105	60295.0	6632.2500699000375	2955.1754512725165	69882.42552117255
106	60215.0	6202.526839885832	3165.680493749096	69583.20733363493
107	60215.0	6256.317663217051	3183.384858078207	69654.70252129526
108	60335.0	6048.851459876605	2971.004483687575	69354.85594356418
109	60415.0	6037.0573985656665	2978.6199647554895	69430.67736332116
110	60215.0	6693.090134740778	3197.4588988436153	70105.5490335844
111	60375.0	6333.166404241783	3029.3505377758993	69737.51694201768
112	60375.0	5763.021528113604	3086.9411088903144	69224.96263700392
113	60375.0	6173.853321297647	3063.6056571283552	69612.458978426
114	60455.0	6781.466761210904	2991.3188549724873	70227.78561618339
115	60495.0	6703.778946852399	2931.904987435555	70130.68393428795
116	60495.0	7091.029326769494	2950.023597333784	70536.05292410328
117	60375.0	6898.232625693636	3352.029294816748	70625.26192051038
118	60495.0	6620.073291867011	3065.179518076475	70180.25280994349
119	60295.0	6672.409212557686	3393.1378277478507	70360.54704030554
120	60295.0	6243.815979806677	3503.172200971021	70041.9881807777
121	60535.0	6433.14937516916	3144.5582187948457	70112.707593964
122	60255.0	5666.805081933708	3672.9145463730674	69594.71962830678
123	60520.0	6022.978633852763	3161.1188973335084	69704.09753118627
124	60800.0	6269.3700736509345	2814.4837035964883	69883.85377724742
125	60760.0	6297.779366233008	2933.128566478117	69990.90793271112
126	60510.0	5700.435515505233	3322.1296463528415	69532.56516185807
127	60590.0	6175.6645560135075	3163.3619055961026	69929.02646160961
128	60405.0	7000.097804896504	3464.260829489649	70869.35863438615
129	60495.0	5421.273905037524	3351.1934814408596	69267.46738647838
130	60255.0	5661.538323050336	3777.3997248790693	69693.9380479294
131	60535.0	5992.18500424744	3306.0807193431538	69833.2657235906
132	60565.0	6208.848103902274	3406.5877948410343	70180.43589874331
133	60605.0	6593.694408208685	3374.414911175845	70573.10931938453
134	60535.0	6408.881471793138	3487.664213174721	70431.54568496786
135	60670.0	6350.142593911005	3234.13389079622	70254.27648470722
136	60710.0	6719.189162196562	3154.9319181439932	70584.12108034056
137	60830.0	6382.212964369537	3196.6025183105376	70408.81548268007
138	60750.0	6558.458080019773	3288.467014207272	70596.92509422704
