wMCS 	 D_Dynabead 	 D_TCell 
130	0.0008934301463405489	1.3611144716537638e-05
131	0.0009011436719478512	1.351974091442893e-05
132	0.0009078136299908997	1.3180203940158607e-05
133	0.0009139945251078534	1.2915796543868116e-05
134	0.0009208883870391619	1.2776492984068153e-05
135	0.0009282015072302329	1.2717622749637994e-05
136	0.0009344074992354148	1.2483771701252339e-05
137	0.0009398538114181991	1.229749027751397e-05
138	0.0009442146558980715	1.2124844484778704e-05
139	0.0009465096248318897	1.1945452998872444e-05
140	0.0009495407816200352	1.1853992190105917e-05
141	0.0009497324226830212	1.1787818385202241e-05
142	0.0009505447283242292	1.1865857872572244e-05
143	0.0009519616546747496	1.1736912388579162e-05
144	0.0009534710670368073	1.1610048133515744e-05
145	0.0009540696973245222	1.161341118795755e-05
146	0.0009574715741264744	1.1566708732681137e-05
147	0.0009602169275554636	1.1305034053418403e-05
148	0.0009630241681192876	1.1159246949747165e-05
149	0.0009688178117574818	1.1037877460977663e-05
150	0.0009763647080279371	1.0803828372122278e-05
151	0.0009828872573061182	1.0646449378847745e-05
152	0.000989295539389116	1.0560677753218767e-05
153	0.00099543672642429	1.045820392979476e-05
154	0.0010003988041508022	1.045558321675237e-05
155	0.0010022640875776176	1.0486854423978964e-05
156	0.001003862071784878	1.0501849451669705e-05
157	0.0010063969647489616	1.0500240384428001e-05
158	0.0010110052920949038	1.0474954278009413e-05
159	0.001011749946853031	1.0494214361929137e-05
160	0.0010132165140732876	1.0595176781450041e-05
161	0.0010152936106441787	1.0633329417425707e-05
162	0.0010162642107701307	1.0602532026284338e-05
163	0.001017336026321673	1.0624085323537134e-05
164	0.00102064361716102	1.0699731882098698e-05
165	0.0010241393951100233	1.078152342065041e-05
166	0.001025792848981948	1.081839618404282e-05
167	0.001029515017792112	1.0726368400214787e-05
168	0.001032382382681823	1.0553637058881895e-05
169	0.0010360228609424262	1.0472299793659518e-05
170	0.0010407752438555936	1.0451194662180462e-05
171	0.0010444590841517858	1.0409365890101174e-05
172	0.001046594597607428	1.038430944646537e-05
173	0.0010482334829828937	1.0443545008116436e-05
174	0.0010495910918951025	1.0536772359027138e-05
175	0.0010518569922697985	1.058235434646474e-05
176	0.0010517892339823064	1.066660321762266e-05
177	0.0010498133720417148	1.0864166914066883e-05
178	0.0010483381425227286	1.103301765612717e-05
179	0.0010466326882859701	1.1159334475696215e-05
180	0.0010459478625061088	1.1175939400469257e-05
181	0.0010438552298127773	1.1188907636542773e-05
182	0.0010430320040222202	1.1236118965525106e-05
183	0.0010424904783832597	1.1289987544386062e-05
184	0.001043637871362541	1.1282951053846404e-05
185	0.0010447125496110975	1.1197066233270565e-05
186	0.0010469539161790653	1.1006686644060132e-05
187	0.0010488989654446042	1.0888042512419573e-05
188	0.0010503545041230615	1.0773005564743753e-05
189	0.0010504839565361626	1.0742787396596377e-05
190	0.0010514648899353234	1.065956984054108e-05
191	0.0010539886296108694	1.0596416252082902e-05
192	0.0010558251188122077	1.0511645920940683e-05
193	0.0010567177948453228	1.047931854649844e-05
194	0.0010572949675251907	1.0481179196855461e-05
195	0.001057262030329403	1.0451961444148086e-05
196	0.0010571835345036008	1.0406292991899043e-05
197	0.0010577477001619516	1.041078053495986e-05
198	0.0010578416412094962	1.045559572131588e-05
199	0.0010581195622285141	1.0541209246113955e-05
200	0.0010583320477796146	1.0601871492052374e-05
201	0.0010585220379747337	1.0647710367960081e-05
202	0.001058964794550307	1.062743609008696e-05
203	0.0010589228986049833	1.061285305249594e-05
204	0.001057961651035455	1.0643939122342815e-05
205	0.0010565109044795083	1.070242866914945e-05
206	0.0010545550071946164	1.07147996697353e-05
207	0.001052956853639028	1.0790350358895868e-05
208	0.0010519572596202978	1.0844943332160119e-05
209	0.0010522479546077469	1.104419071689055e-05
210	0.0010507233714008098	1.1228935847449241e-05
211	0.0010480971768332948	1.1385172773237329e-05
212	0.0010464360837096026	1.1531928464068505e-05
213	0.0010446015623364628	1.1679439362791757e-05
214	0.001043777861141462	1.1791893845106546e-05
215	0.001042941413639646	1.192304760607163e-05
216	0.0010426705634620412	1.2074457739160847e-05
217	0.0010428537590777846	1.2176284387272634e-05
218	0.0010431934116201505	1.2297593711552395e-05
219	0.001043963338247451	1.2329111563047383e-05
220	0.0010439337920069927	1.239068516118429e-05
221	0.0010444016649798998	1.2352695914568738e-05
222	0.0010450571556043884	1.2409752693620765e-05
223	0.001045342381427141	1.2428027996409988e-05
224	0.0010452440118371225	1.2377776578935118e-05
225	0.0010448458869211333	1.2334167745747301e-05
226	0.0010445701561881799	1.2255964602608508e-05
227	0.001044777950047875	1.2127831883497728e-05
228	0.0010462211203177431	1.2048679400197499e-05
229	0.0010477416646281663	1.197685626641649e-05
230	0.0010494876931778688	1.1956542595226391e-05
231	0.0010512638996628342	1.1866671442022004e-05
232	0.0010541814827155027	1.1771557246156108e-05
233	0.0010574312773015914	1.1691608396555718e-05
234	0.001059777189492115	1.157660353392596e-05
235	0.0010624445604495913	1.1467422366920519e-05
236	0.0010655339552943525	1.1355052282095042e-05
237	0.0010683399024201427	1.126108112901625e-05
238	0.001071722631544402	1.1126741863211046e-05
239	0.0010739014288756127	1.1064620834533774e-05
240	0.0010761849835139968	1.105148878863038e-05
241	0.001078744353961394	1.106040149090374e-05
242	0.0010816869737572603	1.1032429076502629e-05
243	0.0010836498272186392	1.100199335288104e-05
244	0.001085342986469099	1.1003015845286606e-05
245	0.001087435749521529	1.102574505586233e-05
246	0.00108922790717335	1.102822156266725e-05
247	0.0010900468560465686	1.1068627000170501e-05
248	0.0010907478001573746	1.1070235775371622e-05
249	0.001091101453038346	1.1054918969769242e-05
250	0.00109068941977898	1.107624604583876e-05
251	0.001089330501582024	1.1048348163506573e-05
252	0.0010886167784893916	1.1026619335184175e-05
253	0.0010883007898877773	1.0964353118351439e-05
254	0.0010871659889582234	1.0918986202797855e-05
255	0.0010861825922959215	1.0912711275763158e-05
256	0.001085442360067973	1.0876886804436676e-05
257	0.0010855743350102493	1.0823502752057882e-05
258	0.0010860533204299838	1.0777279505378825e-05
259	0.001086205001636352	1.0725293757907656e-05
260	0.0010866375370171756	1.064326077060513e-05
261	0.0010864207091778406	1.0598027255719382e-05
262	0.0010870305184133755	1.0567920455477865e-05
263	0.001086325039963327	1.0615239407245927e-05
264	0.0010846397557172055	1.0649679439538515e-05
265	0.001083601879203778	1.0609920806701827e-05
266	0.0010826932244594738	1.0572731835738032e-05
267	0.0010815159279592994	1.0459357288032657e-05
268	0.0010802349520842652	1.0354837276980002e-05
269	0.00108032687363302	1.028431028551755e-05
270	0.0010800390476296106	1.0256372973150579e-05
271	0.001079432040335054	1.0260032845380146e-05
272	0.0010781757584633403	1.0288646403848803e-05
273	0.0010771522984935023	1.0343583553929141e-05
274	0.001076022786231115	1.0376654425438406e-05
275	0.0010746891948354767	1.0386911594828817e-05
276	0.0010729808717124627	1.0425714962185004e-05
277	0.001071424828274318	1.0444881754882687e-05
278	0.0010699000132309113	1.0460061281588868e-05
279	0.0010684002562420438	1.0499226109061965e-05
280	0.0010666297263515513	1.0484190558268917e-05
281	0.0010646551015147908	1.0455410638311224e-05
282	0.0010626306346841461	1.0413055336780133e-05
283	0.0010599808569705215	1.0352816530703368e-05
284	0.001057857321271697	1.0337084551656928e-05
285	0.00105560731092991	1.0382428497893846e-05
286	0.0010534699876505519	1.0416463765327055e-05
