MCS 	 Avg Db vel 	 Avg TC vel 
124 	 0.001967283456985182 	 0.028018907949148932 
125 	 0.0038293737931602892 	 0.036328162001247076 
126 	 0.003575325228121383 	 0.027591431661809256 
127 	 0.0 	 0.021663805633223857 
128 	 0.005887032767134329 	 0.023760927928047553 
129 	 0.00276584877815682 	 0.025859446559735447 
130 	 0.0019307068287738474 	 0.042080354536683136 
131 	 0.0 	 0.023961975973053194 
132 	 0.0 	 0.03499144415335595 
133 	 0.004899078047188115 	 0.03547384870105267 
134 	 0.007423019572324795 	 0.032069699362916475 
135 	 0.00851429981907103 	 0.02906670446317808 
136 	 0.003220830440108941 	 0.0266613680864195 
137 	 0.006024794283603217 	 0.02838559049429511 
138 	 0.005588877945257369 	 0.027364409953184152 
139 	 0.0 	 0.038235988655817676 
140 	 0.0019793677264141863 	 0.034476863606603105 
141 	 0.0040887214216499025 	 0.026704140358729797 
142 	 0.001824593822338639 	 0.03059526710570185 
143 	 0.0 	 0.026087737343110234 
144 	 0.0 	 0.03892939386443536 
145 	 0.0017278119597815642 	 0.03510192609698044 
146 	 0.0 	 0.035309504273507965 
147 	 0.0039980722935647585 	 0.028753627316551105 
148 	 0.0 	 0.044824750453533006 
149 	 0.0 	 0.039280214352486104 
150 	 0.002000164756332538 	 0.023339305305186187 
151 	 0.001994912401572329 	 0.03634255295055461 
152 	 0.0 	 0.03593362824597024 
153 	 0.004030993750052885 	 0.038987758197959695 
154 	 0.002036081348480557 	 0.029956069549950948 
155 	 0.0 	 0.040354916403053345 
156 	 0.0 	 0.02763055584350294 
157 	 0.0 	 0.04030594141233836 
158 	 0.0 	 0.022455703195298608 
159 	 0.0019917872626604048 	 0.029069296162100588 
160 	 0.003657793912191867 	 0.031587284965204 
161 	 0.004802180256545592 	 0.03461429468733753 
162 	 0.0 	 0.039818832742111836 
163 	 0.003912824105863727 	 0.029923974295353633 
164 	 0.004918563943198981 	 0.03662878550671229 
165 	 0.0047748372982256435 	 0.030891982771699897 
166 	 0.0 	 0.031904963280576924 
167 	 0.001994770201323256 	 0.034487608957778776 
168 	 0.008526406487403075 	 0.03998108844132987 
169 	 0.0048529971712176784 	 0.03478791238704839 
170 	 0.008046126554574996 	 0.030617498016433178 
171 	 0.0025675137589403446 	 0.03394542220128333 
172 	 0.0 	 0.029740127010077593 
173 	 0.004524944809675269 	 0.03795097891202525 
174 	 0.00013528138528121994 	 0.031184925132560545 
175 	 0.0 	 0.030893969602701483 
176 	 0.0019919291657374237 	 0.029078919415770496 
177 	 0.0020195141977677913 	 0.03660537284104854 
178 	 0.0 	 0.03303398577234636 
179 	 0.004407286744994326 	 0.030875952805346763 
180 	 0.002606467074600166 	 0.03721655560715829 
181 	 0.0024158481412330647 	 0.03556959233934269 
182 	 0.003116531165311779 	 0.0296155742826963 
