MCS 	 D_Dynabead 	 D_TCell 
71	1.27423233286503e-05	9.485908926800508e-05
72	1.2618591391106811e-05	9.333056107414701e-05
73	1.2549043100999462e-05	9.16537206481439e-05
74	1.2459634891596406e-05	9.039036583493643e-05
75	1.2272773983751995e-05	8.925177557066696e-05
76	1.2036263250985638e-05	8.831117371929339e-05
77	1.1845518122846916e-05	8.770646604871429e-05
78	1.1624781523685186e-05	8.701905058676763e-05
79	1.1398215813621085e-05	8.630616722740947e-05
80	1.1223843364700668e-05	8.543333191196104e-05
81	1.0999851285912589e-05	8.420384843013015e-05
82	1.0836355452820018e-05	8.317761622561541e-05
83	1.0714258573422435e-05	8.206116189134306e-05
84	1.0573548289249155e-05	8.109483209085861e-05
85	1.0395853438386152e-05	8.034664187644946e-05
86	1.0160490479854867e-05	7.913531742873192e-05
87	9.896865174934548e-06	7.813625233408396e-05
88	9.646651935825706e-06	7.701553182904335e-05
89	9.428046255704653e-06	7.573652547730646e-05
90	9.233278899702523e-06	7.415018773142817e-05
91	9.076662540581897e-06	7.283953825395521e-05
92	8.914268138479176e-06	7.172760437468177e-05
93	8.770129101256184e-06	7.06564028072007e-05
94	8.628029221389539e-06	6.957979202906354e-05
95	8.50970743589689e-06	6.844781004922766e-05
96	8.40385214737847e-06	6.746776620894691e-05
97	8.274551618891263e-06	6.628214169836917e-05
98	8.147915873052413e-06	6.496316446563681e-05
99	8.03252461251023e-06	6.355573019338899e-05
100	7.917360135154014e-06	6.193491959764783e-05
101	7.809887534180084e-06	6.042958002270819e-05
102	7.697984419531598e-06	5.9051558950841145e-05
103	7.592175903364206e-06	5.746101093407451e-05
104	7.483222313482317e-06	5.609605552447812e-05
105	7.358966354476622e-06	5.479859738499087e-05
106	7.210022047534361e-06	5.3683742926045824e-05
107	7.065652869058818e-06	5.271299807827399e-05
108	6.925425291110659e-06	5.189219815433146e-05
109	6.785758904551601e-06	5.119818343227472e-05
110	6.650232128290297e-06	5.0653990953706826e-05
111	6.5237323501378975e-06	5.009732205438564e-05
112	6.387267671948399e-06	4.961836914035707e-05
113	6.256788207082704e-06	4.909115228031248e-05
114	6.130184725358841e-06	4.877075271381793e-05
115	6.02014498041734e-06	4.854064148633422e-05
116	5.9263767958627585e-06	4.8337756784990985e-05
117	5.834588883018891e-06	4.821243174787518e-05
118	5.754645456199826e-06	4.812336989189076e-05
119	5.6753288716724e-06	4.7867854393180955e-05
120	5.579428150679644e-06	4.7560001791967425e-05
121	5.485936233953129e-06	4.7286163132231255e-05
122	5.402685318680617e-06	4.7097720545069004e-05
123	5.317088435331934e-06	4.687717738339561e-05
124	5.233604408972161e-06	4.675005895867332e-05
125	5.156207406340585e-06	4.653618253923905e-05
126	5.082555579565245e-06	4.627211781642688e-05
127	5.0104557729548626e-06	4.602781973545127e-05
128	4.9548276778589896e-06	4.57342445200452e-05
129	4.909633024647209e-06	4.5458046087710373e-05
130	4.861729263977464e-06	4.5263631319511544e-05
131	4.8143086556840625e-06	4.505680935411101e-05
132	4.767374608747186e-06	4.486822034581793e-05
133	4.710865614061355e-06	4.482400025007539e-05
134	4.641193918796095e-06	4.478394507998751e-05
135	4.5809301440884765e-06	4.472127613941314e-05
136	4.535706696587884e-06	4.474002949375867e-05
137	4.497727646846757e-06	4.4702168874018475e-05
138	4.449628122530974e-06	4.475824810143006e-05
139	4.402208296390603e-06	4.474016833714541e-05
140	4.35188102940652e-06	4.4830742918257406e-05
141	4.297587725800848e-06	4.496756715745462e-05
142	4.23961873893775e-06	4.507789673038565e-05
143	4.182813512594739e-06	4.5268160758897135e-05
144	4.1271411386451865e-06	4.5457035637079186e-05
145	4.0746734340900634e-06	4.5576167194865034e-05
146	4.023194578294953e-06	4.580370279856127e-05
147	3.975499318180502e-06	4.6059185998513894e-05
148	3.928631807845532e-06	4.613752519106965e-05
149	3.882573462154232e-06	4.617712732172296e-05
150	3.8390442020382495e-06	4.618471616293901e-05
151	3.7939942843709306e-06	4.621545649430631e-05
152	3.7497219480036247e-06	4.617174751928304e-05
153	3.7103091201682312e-06	4.6164367034637784e-05
154	3.6695755978503e-06	4.6157627926834795e-05
155	3.6294898216011164e-06	4.6131846317066066e-05
156	3.5900386992140577e-06	4.614235528160048e-05
157	3.55120944621165e-06	4.608843478521546e-05
158	3.512989578204622e-06	4.606253443499965e-05
159	3.4730455954963286e-06	4.60457316558085e-05
160	3.434413818138653e-06	4.59695940038843e-05
161	3.396492256216337e-06	4.583425871083764e-05
162	3.359187208342947e-06	4.567026094499624e-05
163	3.3248705328941584e-06	4.551191774897868e-05
164	3.2873100315401164e-06	4.537111982803219e-05
165	3.2497218406218433e-06	4.5287960779618145e-05
166	3.212773060811321e-06	4.515361337693983e-05
167	3.178290344023974e-06	4.501556413434349e-05
168	3.1484485118763565e-06	4.490605400543454e-05
169	3.114180722831818e-06	4.4810951453185674e-05
170	3.0847624813426242e-06	4.4739402855794154e-05
171	3.0563466336634127e-06	4.464017223568361e-05
172	3.028295779624499e-06	4.454045078901375e-05
173	3.0009754762679323e-06	4.446433238195741e-05
174	2.973983830733232e-06	4.436256328916895e-05
175	2.947329155364808e-06	4.425999044486155e-05
176	2.9191261095141027e-06	4.417286253059684e-05
177	2.8920303152238534e-06	4.414288731771137e-05
178	2.8652941134116085e-06	4.411890962642039e-05
179	2.8397136978656212e-06	4.403479740975438e-05
180	2.81369764787117e-06	4.392448660411983e-05
181	2.7889522276652727e-06	4.385947517268725e-05
182	2.764261182637668e-06	4.374584736774426e-05
183	2.7430273253479494e-06	4.3695891624663486e-05
184	2.722292154965281e-06	4.372595749227204e-05
185	2.701749104558065e-06	4.373390294610979e-05
186	2.6813970764022554e-06	4.3759618569829404e-05
187	2.6612349227180657e-06	4.3735159404464265e-05
188	2.6393573566077393e-06	4.3675198235732264e-05
189	2.6228698396005513e-06	4.3611658672882736e-05
190	2.5998169723229265e-06	4.346939721159359e-05
191	2.578115163452492e-06	4.3318321631073934e-05
192	2.565701046140508e-06	4.315582434289535e-05
193	2.556150566420315e-06	4.299405698165138e-05
194	2.5413094507028255e-06	4.283439867546573e-05
195	2.530028044542008e-06	4.258142665521753e-05
196	2.518697592815069e-06	4.2349442740264186e-05
197	2.504550758162157e-06	4.2113661088076244e-05
198	2.4904486278385675e-06	4.187732929114495e-05
199	2.477866721099417e-06	4.1664956535131484e-05
200	2.465300203851452e-06	4.1441556674407917e-05
201	2.4539457563146963e-06	4.127147520005062e-05
202	2.442568080020532e-06	4.1115742249325325e-05
203	2.4311713394410382e-06	4.098036434188005e-05
204	2.419759507894215e-06	4.089090504141821e-05
205	2.408609387578884e-06	4.073384147051022e-05
206	2.397443706491864e-06	4.057516994724903e-05
207	2.3864479425442286e-06	4.0406884659713173e-05
208	2.3754386024810904e-06	4.022641368908861e-05
209	2.3644191788139856e-06	4.004876203093767e-05
210	2.353393005386065e-06	3.9888103894291955e-05
211	2.3423632639910028e-06	3.970955985255638e-05
212	2.329822036149933e-06	3.951633979928551e-05
213	2.316201796748174e-06	3.9284612815653046e-05
214	2.3037720082522896e-06	3.9012753307754885e-05
215	2.2923809590874082e-06	3.872843313360307e-05
216	2.284525081627867e-06	3.8513595796486097e-05
217	2.277634280950068e-06	3.831535315004963e-05
218	2.2696184272428844e-06	3.812816319425466e-05
219	2.261539127571029e-06	3.791022850965197e-05
220	2.2534006287795473e-06	3.769283228850723e-05
221	2.2473957263032067e-06	3.7487201732159205e-05
222	2.2393064988655207e-06	3.72749998495718e-05
223	2.230675324454266e-06	3.706760323248458e-05
224	2.224247962452499e-06	3.6891531718771826e-05
225	2.2177296020185496e-06	3.671833918752662e-05
226	2.2111249262301527e-06	3.651916106475539e-05
227	2.203493879325879e-06	3.6324883318960714e-05
228	2.194828772572316e-06	3.614753991236584e-05
229	2.186139893616684e-06	3.5982939159233545e-05
230	2.177430002375395e-06	3.5827238442387275e-05
231	2.1696577981112656e-06	3.567701547091361e-05
232	2.161845262757102e-06	3.549454194957125e-05
233	2.152929576497475e-06	3.5350922004304636e-05
234	2.144768134641093e-06	3.521828893839323e-05
235	2.135484954970676e-06	3.509480706633658e-05
236	2.1240951794311335e-06	3.4965898853993516e-05
237	2.115064897801262e-06	3.482369837901795e-05
238	2.107154102012669e-06	3.469441559197232e-05
239	2.0954302918845812e-06	3.458661984920565e-05
240	2.082999471919082e-06	3.447789684844554e-05
241	2.072447021611805e-06	3.436229217063616e-05
242	2.064564540899952e-06	3.4297052898588796e-05
