# MSD of Single Random Dynabead (H) (Single Random Atom)
LagTime(MCS)	MSD
17100	485.46073655446526
17200	487.9829401074094
17300	490.67986921046395
17400	493.44105074816616
17500	496.1030333074159
17600	498.67414495628327
17700	501.20622495148564
17800	503.8359612937202
17900	506.48227232840145
18000	509.1414104842115
18100	511.85581423249096
18200	514.5630269922549
18300	517.3435420663445
18400	520.1485693929135
18500	522.9613411938772
18600	525.6384286545217
18700	528.1952163813985
18800	530.6508832424879
18900	533.0457742436556
19000	535.3517239785288
19100	537.5708764369483
19200	539.8124317831243
19300	541.9289669923019
19400	544.1376357361441
19500	546.4838063080679
19600	548.9458214944461
19700	551.3616493026493
19800	553.9682062232168
19900	556.7100855764584
20000	559.4917982019251
20100	562.3119352184003
20200	565.0467930282466
20300	567.7664703472401
20400	570.5988645137404
20500	573.3457420986379
20600	576.0818349242327
20700	578.8802428924828
20800	581.6615905846702
20900	584.3051590126124
21000	586.7839148862404
21100	589.203930645599
21200	591.653277474572
21300	594.1601258448209
21400	596.675222579448
21500	599.2605192364426
21600	601.8574880922679
21700	604.4083013546187
21800	607.1251480609644
21900	609.7138176509761
22000	612.2491316398373
22100	614.8467879951932
22200	617.3794602869311
22300	619.7572354261065
22400	622.286305341695
22500	624.8268028197344
22600	627.4527256236179
22700	630.0753051324282
22800	632.7660513151204
22900	635.4643928823061
23000	638.2419142197468
23100	641.0133321673493
23200	643.6839526051772
23300	646.4434714121744
23400	649.134329447872
23500	651.9365178745356
23600	654.6557060257182
23700	657.383006572898
23800	659.9028788364376
23900	662.6725600410136
24000	665.5663842019276
24100	668.3298631577636
24200	670.9566596175428
24300	673.5274553293712
24400	676.1465695930528
24500	678.7554774436285
24600	681.3690761935432
24700	684.1428157113842
24800	686.9891740341554
24900	689.781491274247
25000	692.5832387304399
25100	695.2884376217844
25200	697.949053252989
25300	700.512499220029
25400	702.921399591025
25500	705.2440872388543
25600	707.5932263938012
25700	710.0221846973291
25800	712.4398170677596
25900	714.8161619462771
26000	717.0978351313388
26100	719.4654645593837
26200	721.9642950803391
26300	724.5518018654548
26400	727.2560809119022
26500	729.8609301665565
26600	732.4615005602245
26700	735.1016801357036
26800	737.7757424807642
26900	740.4707713286625
27000	743.0168450415367
27100	745.4699931454961
27200	747.8226986733498
27300	750.2569320451585
27400	752.8172261453583
27500	755.4481899231905
27600	758.0046783260186
27700	760.6503659679438
27800	763.3851918783039
27900	766.0266723786481
28000	768.5925750908209
28100	771.2267725051497
28200	773.7771671834635
28300	776.4104766867822
28400	779.1813141200691
28500	782.0394280394539
28600	785.0296568683116
28700	788.0194802717306
28800	791.1382965394296
28900	794.4168912398163
29000	797.5951450614375
29100	800.9299612299656
29200	804.2063044834067
29300	807.5151128103025
29400	810.8944808766246
29500	814.1295816553757
29600	817.2460192656144
29700	820.2847259141854
29800	823.3477857565158
29900	826.512225231796
30000	829.6237490859348
30100	832.7146539528039
30200	835.8728479153942
30300	839.1848288858891
30400	842.3955266558914
30500	845.6861918472569
30600	849.0153768429882
30700	852.2553157041548
30800	855.5873514033738
30900	858.9138888091547
31000	862.3467937773094
31100	865.7377108566579
31200	869.0548770086607
31300	872.3032273543067
31400	875.4304362175753
31500	878.3999979702639
31600	881.4180944031687
31700	884.4661444335943
31800	887.5138541650376
31900	890.5505683325464
32000	893.6061906416435
32100	896.9192946182447
32200	900.2510675550438
32300	903.3135695358505
32400	906.4904822532553
32500	909.5742706328747
32600	912.6660777588258
32700	915.8379513212712
32800	919.1181675588014
32900	922.2292687613517
33000	925.4494718651986
33100	928.6605726622511
33200	931.7515624059015
33300	934.8052737614489
33400	937.835432001797
33500	940.8308689865516
33600	943.7128161307774
33700	946.6539701112779
33800	949.6076085884706
33900	952.57842555159
34000	955.5859117177315
34100	958.6203716737218
34200	961.72607278137
34300	964.8819270016975
34400	968.0261916399468
34500	971.1861745345523
34600	974.4103309893981
34700	977.5850928362925
34800	980.7502256497391
34900	983.919751444424
35000	986.9512097754632
35100	989.9874172881828
35200	992.9757415328058
35300	995.9428625278524
35400	998.8587515996187
35500	1001.6341100399732
35600	1004.3821018185117
35700	1007.0249163027038
35800	1009.7178411918576
35900	1012.3759402553551
36000	1014.9506614577258
36100	1017.5023540871916
36200	1020.2074760711985
36300	1022.9354412694229
36400	1025.5806227755384
36500	1028.1544579971232
36600	1030.7738062341814
36700	1033.3699557202635
36800	1036.101018796966
36900	1038.9411898910184
37000	1041.8590958188288
37100	1044.869834807294
37200	1047.8921152254916
37300	1050.8354061688296
37400	1053.7889400352142
37500	1056.8017021470587
37600	1059.8913799276343
37700	1062.9289695277694
37800	1065.9907569641946
37900	1069.032871262054
38000	1072.0659069248359
38100	1075.2088506059954
38200	1078.4378473864635
38300	1081.6310535822413
38400	1084.9638353079208
38500	1088.3143995081773
38600	1091.6367605327396
38700	1094.8722659726045
38800	1098.2225218542153
38900	1101.7186522984412
39000	1105.2192007282865
39100	1108.8949212080915
39200	1112.5604020627798
39300	1116.2840292926994
39400	1120.1544957869337
39500	1123.9315361581394
