MCS 	 CellCount 
6260 	 3067
6270 	 3064
6280 	 3065
6290 	 3054
6300 	 3046
6310 	 3043
6320 	 3038
6330 	 3045
6340 	 3049
6350 	 3054
6360 	 3051
6370 	 3058
6380 	 3063
6390 	 3054
6400 	 3053
6410 	 3053
6420 	 3053
6430 	 3052
6440 	 3059
6450 	 3061
6460 	 3067
6470 	 3072
6480 	 3083
6490 	 3091
6500 	 3105
6510 	 3127
6520 	 3127
6530 	 3120
6540 	 3114
6550 	 3124
6560 	 3111
6570 	 3126
6580 	 3130
6590 	 3131
6600 	 3128
6610 	 3115
6620 	 3114
6630 	 3110
6640 	 3100
6650 	 3105
6660 	 3104
6670 	 3093
6680 	 3098
6690 	 3095
6700 	 3102
6710 	 3112
6720 	 3123
6730 	 3139
6740 	 3157
6750 	 3156
6760 	 3176
6770 	 3208
6780 	 3247
6790 	 3278
6800 	 3307
6810 	 3323
6820 	 3346
6830 	 3368
6840 	 3398
6850 	 3422
6860 	 3457
6870 	 3482
6880 	 3521
6890 	 3549
6900 	 3587
6910 	 3603
6920 	 3612
6930 	 3626
6940 	 3632
6950 	 3663
6960 	 3660
6970 	 3675
6980 	 3660
6990 	 3669
7000 	 3680
7010 	 3700
7020 	 3706
7030 	 3722
7040 	 3741
7050 	 3754
7060 	 3765
7070 	 3789
7080 	 3806
7090 	 3829
7100 	 3849
7110 	 3865
7120 	 3870
7130 	 3870
7140 	 3870
7150 	 3870
7160 	 3870
7170 	 3870
7180 	 3870
7190 	 3870
7200 	 3870
7210 	 3870
7220 	 3870
7230 	 3870
7240 	 3870
7250 	 3870
7260 	 3870
7270 	 3870
7280 	 3870
7290 	 3870
7300 	 3870
7310 	 3870
7320 	 3870
7330 	 3870
7340 	 3870
7350 	 3870
7360 	 3870
7370 	 3870
7380 	 3870
7390 	 3870
7400 	 3870
7410 	 3870
7420 	 3870
7430 	 3870
7440 	 3870
7450 	 3870
7460 	 3870
7470 	 3870
7480 	 3870
7490 	 3870
7500 	 3870
7510 	 3869
7520 	 3869
7530 	 3869
7540 	 3869
7550 	 3869
7560 	 3869
7570 	 3869
7580 	 3869
7590 	 3869
7600 	 3869
7610 	 3869
7620 	 3869
7630 	 3868
7640 	 3866
7650 	 3865
7660 	 3864
7670 	 3864
7680 	 3864
7690 	 3864
7700 	 3864
7710 	 3864
7720 	 3863
7730 	 3861
7740 	 3860
7750 	 3856
7760 	 3858
7770 	 3863
7780 	 3871
7790 	 3877
7800 	 3885
7810 	 3890
7820 	 3905
7830 	 3924
7840 	 3932
7850 	 3952
7860 	 3965
7870 	 3990
7880 	 4002
7890 	 4025
7900 	 4036
7910 	 4053
7920 	 4066
7930 	 4080
7940 	 4093
7950 	 4118
7960 	 4124
7970 	 4124
7980 	 4138
7990 	 4148
8000 	 4172
8010 	 4161
8020 	 4178
8030 	 4171
8040 	 4178
8050 	 4184
8060 	 4154
8070 	 4155
8080 	 4160
8090 	 4131
8100 	 4103
8110 	 4084
8120 	 4054
8130 	 4035
8140 	 4003
8150 	 3967
8160 	 3926
8170 	 3917
8180 	 3881
8190 	 3880
8200 	 3837
8210 	 3826
8220 	 3817
8230 	 3823
8240 	 3800
8250 	 3790
8260 	 3782
8270 	 3789
8280 	 3768
8290 	 3781
8300 	 3770
8310 	 3741
8320 	 3743
8330 	 3730
8340 	 3722
8350 	 3726
8360 	 3711
8370 	 3696
8380 	 3682
8390 	 3666
8400 	 3661
8410 	 3636
8420 	 3649
8430 	 3668
8440 	 3666
8450 	 3669
8460 	 3658
8470 	 3664
8480 	 3669
8490 	 3649
8500 	 3647
8510 	 3623
8520 	 3622
8530 	 3603
8540 	 3593
8550 	 3594
8560 	 3596
8570 	 3569
8580 	 3558
8590 	 3550
8600 	 3522
8610 	 3519
