MCS 	 ContactEnergy 
655 	 17662.0
656 	 17470.0
657 	 17560.0
658 	 17496.0
659 	 17470.0
660 	 17706.0
661 	 17546.0
662 	 17564.0
663 	 17690.0
664 	 17872.0
665 	 17744.0
666 	 17692.0
667 	 17914.0
668 	 17838.0
669 	 17778.0
670 	 17814.0
671 	 17758.0
672 	 17632.0
673 	 17706.0
674 	 17606.0
675 	 17490.0
676 	 17458.0
677 	 17476.0
678 	 17696.0
679 	 17762.0
680 	 17794.0
681 	 17808.0
682 	 17728.0
683 	 17690.0
684 	 17670.0
685 	 17726.0
686 	 17844.0
687 	 17708.0
688 	 17790.0
689 	 17686.0
690 	 17728.0
691 	 17842.0
692 	 17808.0
693 	 17644.0
694 	 17704.0
695 	 17662.0
696 	 17536.0
697 	 17816.0
698 	 17592.0
699 	 17794.0
700 	 17638.0
701 	 17444.0
702 	 17636.0
703 	 17592.0
704 	 17478.0
705 	 17494.0
706 	 17526.0
707 	 17640.0
708 	 17856.0
709 	 17780.0
710 	 17838.0
711 	 17726.0
712 	 17522.0
713 	 17480.0
714 	 17550.0
715 	 17588.0
716 	 17566.0
717 	 17550.0
718 	 17688.0
719 	 17674.0
720 	 17800.0
721 	 17700.0
722 	 17760.0
723 	 17914.0
724 	 18050.0
725 	 17784.0
726 	 17622.0
727 	 17440.0
728 	 17586.0
729 	 17666.0
730 	 17632.0
731 	 17658.0
732 	 17686.0
733 	 17616.0
734 	 17672.0
735 	 17766.0
736 	 17784.0
737 	 17800.0
738 	 17756.0
739 	 17826.0
740 	 17726.0
741 	 17728.0
742 	 17722.0
743 	 17654.0
744 	 17738.0
745 	 17690.0
746 	 17658.0
747 	 17702.0
748 	 17742.0
749 	 17748.0
750 	 17736.0
751 	 17552.0
752 	 17598.0
753 	 17450.0
754 	 17628.0
755 	 17772.0
756 	 17772.0
757 	 17656.0
758 	 17812.0
759 	 17744.0
760 	 17494.0
761 	 17548.0
762 	 17588.0
763 	 17524.0
764 	 17784.0
765 	 17788.0
766 	 17674.0
767 	 17522.0
768 	 17578.0
769 	 17612.0
770 	 17428.0
771 	 17422.0
772 	 17598.0
773 	 17710.0
774 	 17478.0
775 	 17426.0
776 	 17576.0
777 	 17464.0
778 	 17380.0
779 	 17526.0
780 	 17598.0
781 	 17684.0
782 	 17736.0
783 	 17710.0
784 	 17708.0
785 	 17532.0
786 	 17748.0
787 	 17684.0
788 	 17692.0
789 	 17544.0
790 	 17558.0
791 	 17508.0
792 	 17454.0
793 	 17452.0
794 	 17538.0
795 	 17494.0
796 	 17574.0
797 	 17618.0
798 	 17614.0
799 	 17538.0
800 	 17496.0
801 	 17654.0
802 	 17468.0
803 	 17516.0
804 	 17572.0
805 	 17764.0
806 	 17568.0
807 	 17518.0
808 	 17498.0
809 	 17454.0
810 	 17530.0
811 	 17580.0
812 	 17544.0
813 	 17484.0
814 	 17516.0
815 	 17514.0
816 	 17518.0
817 	 17398.0
818 	 17468.0
819 	 17574.0
820 	 17454.0
821 	 17458.0
822 	 17496.0
823 	 17340.0
824 	 17382.0
825 	 17548.0
826 	 17458.0
827 	 17534.0
828 	 17500.0
829 	 17552.0
830 	 17548.0
831 	 17416.0
832 	 17504.0
833 	 17596.0
834 	 17588.0
835 	 17696.0
836 	 17348.0
837 	 17624.0
838 	 17620.0
839 	 17642.0
840 	 17590.0
841 	 17576.0
842 	 17576.0
843 	 17612.0
844 	 17794.0
845 	 17800.0
846 	 17812.0
847 	 17668.0
848 	 17808.0
849 	 17682.0
850 	 17570.0
851 	 17670.0
852 	 17674.0
853 	 17786.0
854 	 17700.0
855 	 17566.0
856 	 17364.0
857 	 17592.0
858 	 17700.0
859 	 17612.0
860 	 17492.0
861 	 17448.0
862 	 17490.0
863 	 17374.0
864 	 17480.0
865 	 17572.0
866 	 17688.0
867 	 17492.0
868 	 17576.0
869 	 17730.0
870 	 17698.0
871 	 17792.0
872 	 17618.0
873 	 17622.0
874 	 17470.0
875 	 17434.0
876 	 17528.0
877 	 17564.0
878 	 17456.0
879 	 17456.0
880 	 17548.0
881 	 17616.0
882 	 17508.0
883 	 17406.0
884 	 17404.0
885 	 17576.0
886 	 17462.0
887 	 17476.0
888 	 17578.0
889 	 17652.0
890 	 17708.0
891 	 17886.0
892 	 17726.0
893 	 17386.0
894 	 17536.0
895 	 17592.0
896 	 17518.0
897 	 17656.0
898 	 17902.0
899 	 17740.0
900 	 17884.0
901 	 17888.0
902 	 17644.0
903 	 17612.0
